FECHA,PLANTACION,PRECIPITACION_TOTAL
2019-01-01,Nuevo Horizonte,0.0
2019-01-01,Palmawasi,0.0
2019-01-02,Nuevo Horizonte,0.0
2019-01-02,Palmawasi,0.0
2019-01-03,Nuevo Horizonte,0.0
2019-01-03,Palmawasi,40.300000000000004
2019-01-04,Nuevo Horizonte,0.0
2019-01-04,Palmawasi,12.5
2019-01-05,Nuevo Horizonte,0.0
2019-01-05,Palmawasi,14.9
2019-01-06,Nuevo Horizonte,0.0
2019-01-06,Palmawasi,4.4
2019-01-07,Nuevo Horizonte,8.5
2019-01-07,Palmawasi,53.5
2019-01-08,Nuevo Horizonte,28.2
2019-01-08,Palmawasi,262.9
2019-01-09,Nuevo Horizonte,0.0
2019-01-09,Palmawasi,11.5
2019-01-10,Nuevo Horizonte,86.0
2019-01-10,Palmawasi,141.3
2019-01-11,Nuevo Horizonte,15.200000000000001
2019-01-11,Palmawasi,207.5
2019-01-12,Nuevo Horizonte,32.5
2019-01-12,Palmawasi,281.5
2019-01-13,Nuevo Horizonte,15.5
2019-01-13,Palmawasi,181.4
2019-01-14,Nuevo Horizonte,2.4
2019-01-14,Palmawasi,174.2
2019-01-15,Nuevo Horizonte,0.0
2019-01-15,Palmawasi,17.3
2019-01-16,Nuevo Horizonte,0.6
2019-01-16,Palmawasi,20.0
2019-01-17,Nuevo Horizonte,10.4
2019-01-17,Palmawasi,45.1
2019-01-18,Nuevo Horizonte,12.4
2019-01-18,Palmawasi,62.2
2019-01-19,Nuevo Horizonte,0.0
2019-01-19,Palmawasi,1.3
2019-01-20,Nuevo Horizonte,3.4
2019-01-20,Palmawasi,0.2
2019-01-21,Nuevo Horizonte,0.0
2019-01-21,Palmawasi,6.800000000000001
2019-01-22,Nuevo Horizonte,95.69999999999999
2019-01-22,Palmawasi,279.7
2019-01-23,Nuevo Horizonte,5.6
2019-01-23,Palmawasi,0.0
2019-01-24,Nuevo Horizonte,0.0
2019-01-24,Palmawasi,2.2
2019-01-25,Nuevo Horizonte,5.6
2019-01-25,Palmawasi,33.6
2019-01-26,Nuevo Horizonte,3.8
2019-01-26,Palmawasi,3.2
2019-01-27,Nuevo Horizonte,0.0
2019-01-27,Palmawasi,9.8
2019-01-28,Nuevo Horizonte,0.0
2019-01-28,Palmawasi,0.0
2019-01-29,Nuevo Horizonte,0.0
2019-01-29,Palmawasi,266.7
2019-01-30,Nuevo Horizonte,19.3
2019-01-30,Palmawasi,328.1
2019-01-31,Nuevo Horizonte,21.8
2019-01-31,Palmawasi,244.5
2019-02-01,Nuevo Horizonte,12.0
2019-02-01,Palmawasi,402.5
2019-02-02,Nuevo Horizonte,37.5
2019-02-02,Palmawasi,57.7
2019-02-03,Nuevo Horizonte,3.9
2019-02-03,Palmawasi,22.1
2019-02-04,Nuevo Horizonte,0.0
2019-02-04,Palmawasi,57.8
2019-02-05,Nuevo Horizonte,0.9
2019-02-05,Palmawasi,76.7
2019-02-06,Nuevo Horizonte,21.0
2019-02-06,Palmawasi,105.9
2019-02-07,Nuevo Horizonte,11.3
2019-02-07,Palmawasi,38.4
2019-02-08,Nuevo Horizonte,0.0
2019-02-08,Palmawasi,38.4
2019-02-09,Nuevo Horizonte,5.6
2019-02-09,Palmawasi,12.100000000000001
2019-02-10,Nuevo Horizonte,0.0
2019-02-10,Palmawasi,0.0
2019-02-11,Nuevo Horizonte,0.0
2019-02-11,Palmawasi,69.8
2019-02-12,Nuevo Horizonte,0.0
2019-02-12,Palmawasi,38.6
2019-02-13,Nuevo Horizonte,2.4
2019-02-13,Palmawasi,24.6
2019-02-14,Nuevo Horizonte,0.0
2019-02-14,Palmawasi,1.8
2019-02-15,Nuevo Horizonte,62.0
2019-02-15,Palmawasi,485.0
2019-02-16,Nuevo Horizonte,0.0
2019-02-16,Palmawasi,0.0
2019-02-17,Nuevo Horizonte,0.4
2019-02-17,Palmawasi,96.3
2019-02-18,Nuevo Horizonte,19.0
2019-02-18,Palmawasi,442.4
2019-02-19,Nuevo Horizonte,2.2
2019-02-19,Palmawasi,130.6
2019-02-20,Nuevo Horizonte,14.2
2019-02-20,Palmawasi,145.5
2019-02-21,Nuevo Horizonte,0.0
2019-02-21,Palmawasi,28.9
2019-02-22,Nuevo Horizonte,1.0
2019-02-22,Palmawasi,1.3
2019-02-23,Nuevo Horizonte,0.0
2019-02-23,Palmawasi,1.9000000000000001
2019-02-24,Nuevo Horizonte,0.0
2019-02-24,Palmawasi,72.7
2019-02-25,Nuevo Horizonte,0.0
2019-02-25,Palmawasi,40.8
2019-02-26,Nuevo Horizonte,44.8
2019-02-26,Palmawasi,406.1
2019-02-27,Nuevo Horizonte,9.8
2019-02-27,Palmawasi,7.2
2019-02-28,Nuevo Horizonte,0.0
2019-02-28,Palmawasi,97.6
2019-03-01,Nuevo Horizonte,37.0
2019-03-01,Palmawasi,215.4
2019-03-02,Nuevo Horizonte,0.0
2019-03-02,Palmawasi,31.200000000000003
2019-03-03,Nuevo Horizonte,0.0
2019-03-03,Palmawasi,8.2
2019-03-04,Nuevo Horizonte,0.0
2019-03-04,Palmawasi,0.7
2019-03-05,Nuevo Horizonte,0.0
2019-03-05,Palmawasi,23.8
2019-03-06,Nuevo Horizonte,39.0
2019-03-06,Palmawasi,243.5
2019-03-07,Nuevo Horizonte,0.0
2019-03-07,Palmawasi,0.0
2019-03-08,Nuevo Horizonte,2.8
2019-03-08,Palmawasi,37.5
2019-03-09,Nuevo Horizonte,0.0
2019-03-09,Palmawasi,134.2
2019-03-10,Nuevo Horizonte,4.2
2019-03-10,Palmawasi,23.0
2019-03-11,Nuevo Horizonte,5.3
2019-03-11,Palmawasi,42.6
2019-03-12,Nuevo Horizonte,0.0
2019-03-12,Palmawasi,3.6
2019-03-13,Nuevo Horizonte,46.8
2019-03-13,Palmawasi,173.10000000000002
2019-03-14,Nuevo Horizonte,4.5
2019-03-14,Palmawasi,68.1
2019-03-15,Nuevo Horizonte,2.2
2019-03-15,Palmawasi,84.6
2019-03-16,Nuevo Horizonte,0.0
2019-03-16,Palmawasi,65.1
2019-03-17,Nuevo Horizonte,0.0
2019-03-17,Palmawasi,0.0
2019-03-18,Nuevo Horizonte,0.8
2019-03-18,Palmawasi,47.699999999999996
2019-03-19,Nuevo Horizonte,9.4
2019-03-19,Palmawasi,127.2
2019-03-20,Nuevo Horizonte,0.6
2019-03-20,Palmawasi,35.5
2019-03-21,Nuevo Horizonte,0.0
2019-03-21,Palmawasi,376.5
2019-03-22,Nuevo Horizonte,0.0
2019-03-22,Palmawasi,195.3
2019-03-23,Nuevo Horizonte,0.4
2019-03-23,Palmawasi,69.89999999999999
2019-03-24,Nuevo Horizonte,62.3
2019-03-24,Palmawasi,24.0
2019-03-25,Nuevo Horizonte,0.0
2019-03-25,Palmawasi,23.0
2019-03-26,Nuevo Horizonte,0.0
2019-03-26,Palmawasi,232.10000000000002
2019-03-27,Nuevo Horizonte,48.0
2019-03-27,Palmawasi,393.1
2019-03-28,Nuevo Horizonte,15.0
2019-03-28,Palmawasi,223.1
2019-03-29,Nuevo Horizonte,5.2
2019-03-29,Palmawasi,51.6
2019-03-30,Nuevo Horizonte,0.0
2019-03-30,Palmawasi,0.0
2019-03-31,Nuevo Horizonte,0.0
2019-03-31,Palmawasi,0.2
2019-04-01,Nuevo Horizonte,0.0
2019-04-01,Palmawasi,0.2
2019-04-02,Nuevo Horizonte,0.0
2019-04-02,Palmawasi,0.2
2019-04-03,Nuevo Horizonte,0.0
2019-04-03,Palmawasi,35.4
2019-04-04,Nuevo Horizonte,0.0
2019-04-04,Palmawasi,226.3
2019-04-05,Nuevo Horizonte,4.0
2019-04-05,Palmawasi,11.9
2019-04-06,Nuevo Horizonte,0.0
2019-04-06,Palmawasi,698.0
2019-04-07,Nuevo Horizonte,4.5
2019-04-07,Palmawasi,378.3
2019-04-08,Nuevo Horizonte,0.0
2019-04-08,Palmawasi,25.799999999999997
2019-04-09,Nuevo Horizonte,0.0
2019-04-09,Palmawasi,0.0
2019-04-10,Nuevo Horizonte,0.0
2019-04-10,Palmawasi,0.0
2019-04-11,Nuevo Horizonte,0.0
2019-04-11,Palmawasi,0.0
