pk_tiempo,vch_centro,SEDE,RFFProcesado,RFFProcesadoPropios,RFFProcesadoTerceros,CPOObtenido,CPOObtenidoPropios,CPOObtenidoTerceros,FECHA,PLANTACION
20190101,3002,PW,0.0,0.0,0.0,0.0,0.0,0.0,2019-01-01,Palmawasi
20190102,3002,PW,496.3,406.32,89.98,122.0,109.11564,12.88436,2019-01-02,Palmawasi
20190102,3006,NH,121.8,0.0,121.8,31.09,4.5306,26.5594,2019-01-02,Nuevo Horizonte
20190102,3702,SH,109.94,102.72,7.22,24.56,24.06793,0.49207,2019-01-02,Shanuzi
20190103,3002,PW,975.59,893.82,81.77,238.0,212.86494,25.13506,2019-01-03,Palmawasi
20190103,3006,NH,114.8,0.0,114.8,26.94,3.92584,23.01416,2019-01-03,Nuevo Horizonte
20190103,3702,SH,673.98,652.58,21.4,167.02,163.67371,3.34629,2019-01-03,Shanuzi
20190104,3002,PW,1130.29,937.82,192.47,278.0,248.64056,29.35944,2019-01-04,Palmawasi
20190104,3006,NH,143.0,56.58,86.42,33.05,4.81623,28.23377,2019-01-04,Nuevo Horizonte
20190104,3702,SH,1075.5,1054.55,20.95,272.28,266.82479,5.45521,2019-01-04,Shanuzi
20190105,3002,PW,1103.68,915.23,188.45,268.0,239.69665,28.30335,2019-01-05,Palmawasi
20190105,3006,NH,238.08,34.73,203.35,57.51,8.38067,49.12933,2019-01-05,Nuevo Horizonte
20190105,3702,SH,508.95,494.13,14.82,150.43,147.41609,3.01391,2019-01-05,Shanuzi
20190106,3002,PW,0.0,0.0,0.0,0.0,0.0,0.0,2019-01-06,Palmawasi
20190106,3006,NH,134.4,0.0,134.4,31.56,4.5991,26.9609,2019-01-06,Nuevo Horizonte
20190106,3702,SH,0.0,0.0,0.0,0.0,0.0,0.0,2019-01-06,Shanuzi
20190107,3002,PW,659.59,585.17,74.42,162.0,144.89126,17.10874,2019-01-07,Palmawasi
20190107,3006,NH,146.88,72.46,74.42,38.04,5.5434,32.4966,2019-01-07,Nuevo Horizonte
20190107,3702,SH,0.0,-17.64,17.64,0.0,0.0,0.0,2019-01-07,Shanuzi
20190108,3002,PW,578.05,460.2,117.85,170.0,152.04638,17.95362,2019-01-08,Palmawasi
20190108,3006,NH,195.0,45.95,149.05,45.95,6.69608,39.25392,2019-01-08,Nuevo Horizonte
20190108,3702,SH,229.44,203.71,25.73,54.979,53.87748,1.10152,2019-01-08,Shanuzi
20190109,3002,PW,1150.55,1076.37,74.18,280.0,250.42934,29.57066,2019-01-09,Palmawasi
20190109,3006,NH,220.5,0.0,220.5,52.72,7.68265,45.03735,2019-01-09,Nuevo Horizonte
20190109,3702,SH,573.6,542.37,31.23,144.468,141.57354,2.89446,2019-01-09,Shanuzi
20190110,3002,PW,1334.2,1215.45,118.75,320.0,286.20496,33.79504,2019-01-10,Palmawasi
20190110,3006,NH,181.44,38.8,142.64,42.7,6.22248,36.47752,2019-01-10,Nuevo Horizonte
20190110,3702,SH,697.6,685.72,11.88,178.276,174.70419,3.57181,2019-01-10,Shanuzi
20190111,3002,PW,1070.4,954.85,115.55,264.64,236.6915,27.9485,2019-01-11,Palmawasi
20190111,3006,NH,232.44,9.7,222.74,55.69,8.11545,47.57455,2019-01-11,Nuevo Horizonte
20190111,3702,SH,621.4,617.45,3.95,157.341,154.18863,3.15237,2019-01-11,Shanuzi
20190112,3002,PW,1046.6,920.79,125.81,258.0,230.75275,27.24725,2019-01-12,Palmawasi
20190112,3006,NH,107.28,68.01,39.27,26.23,3.82238,22.40762,2019-01-12,Nuevo Horizonte
20190112,3702,SH,673.2,665.42,7.78,169.746,166.34509,3.40091,2019-01-12,Shanuzi
20190113,3002,PW,0.0,0.0,0.0,0.0,0.0,0.0,2019-01-13,Palmawasi
20190113,3702,SH,822.16,822.16,0.0,198.749,194.76701,3.98199,2019-01-13,Shanuzi
20190114,3002,PW,939.61,848.81,90.8,230.0,205.70981,24.29019,2019-01-14,Palmawasi
20190114,3006,NH,184.8,19.16,165.64,44.25,6.44835,37.80165,2019-01-14,Nuevo Horizonte
20190114,3702,SH,788.7,769.61,19.09,196.669,192.72868,3.94032,2019-01-14,Shanuzi
20190115,3002,PW,1233.46,1110.44,123.02,306.0,273.68349,32.31651,2019-01-15,Palmawasi
20190115,3006,NH,200.1,36.4,163.7,48.29,7.03708,41.25292,2019-01-15,Nuevo Horizonte
20190115,3702,SH,573.6,556.7,16.9,137.678,134.91958,2.75842,2019-01-15,Shanuzi
20190116,3002,PW,1245.67,1114.91,130.76,307.0,274.57788,32.42212,2019-01-16,Palmawasi
20190116,3006,NH,253.7,0.0,253.7,59.85,8.72167,51.12833,2019-01-16,Nuevo Horizonte
20190116,3702,SH,670.5,658.44,12.06,154.13,151.04196,3.08804,2019-01-16,Shanuzi
20190117,3002,PW,1266.77,1115.9,150.87,315.0,281.73301,33.26699,2019-01-17,Palmawasi
20190117,3006,NH,275.5,47.26,228.24,66.27,9.65723,56.61277,2019-01-17,Nuevo Horizonte
20190117,3702,SH,492.34,479.82,12.52,122.83,120.36907,2.46093,2019-01-17,Shanuzi
20190118,3002,PW,1225.61,1084.2,141.41,305.1,272.87854,32.22146,2019-01-18,Palmawasi
20190118,3006,NH,168.0,67.56,100.44,39.49,5.7547,33.7353,2019-01-18,Nuevo Horizonte
20190118,3702,SH,615.95,608.3,7.65,158.274,155.10294,3.17106,2019-01-18,Shanuzi
20190119,3002,PW,1194.73,1064.73,130.0,294.0,262.95081,31.04919,2019-01-19,Palmawasi
20190119,3006,NH,223.08,40.08,183.0,52.56,7.65933,44.90067,2019-01-19,Nuevo Horizonte
20190119,3702,SH,611.1,611.1,0.0,157.359,154.20627,3.15273,2019-01-19,Shanuzi
20190120,3002,PW,683.52,683.52,0.0,169.3,151.42031,17.87969,2019-01-20,Palmawasi
20190120,3702,SH,688.7,688.7,0.0,159.852,156.64932,3.20268,2019-01-20,Shanuzi
20190121,3002,PW,1041.87,973.5,68.37,257.7,230.48443,27.21557,2019-01-21,Palmawasi
20190121,3006,NH,141.6,0.0,141.6,32.98,4.80603,28.17397,2019-01-21,Nuevo Horizonte
20190121,3702,SH,206.0,198.66,7.34,51.847,50.80823,1.03877,2019-01-21,Shanuzi
20190122,3002,PW,1178.61,1096.34,82.27,291.13,260.3839,30.7461,2019-01-22,Palmawasi
20190122,3006,NH,123.9,3.65,120.25,28.68,4.17941,24.50059,2019-01-22,Nuevo Horizonte
20190122,3702,SH,478.4,461.81,16.59,127.941,125.37767,2.56333,2019-01-22,Shanuzi
20190123,3002,PW,1099.17,1013.89,85.28,271.9,243.18478,28.71522,2019-01-23,Palmawasi
20190123,3006,NH,212.16,39.8,172.36,49.04,7.14638,41.89362,2019-01-23,Nuevo Horizonte
20190123,3702,SH,795.0,777.1,17.9,208.883,204.69797,4.18503,2019-01-23,Shanuzi
20190124,3002,PW,1117.97,1006.39,111.58,275.0,245.95739,29.04261,2019-01-24,Palmawasi
20190124,3006,NH,145.8,40.2,105.6,33.87,4.93572,28.93428,2019-01-24,Nuevo Horizonte
20190124,3702,SH,379.6,368.84,10.76,97.041,95.09676,1.94424,2019-01-24,Shanuzi
20190125,3002,PW,1236.48,1085.11,151.37,307.0,274.57788,32.42212,2019-01-25,Palmawasi
20190125,3006,NH,174.0,31.81,142.19,40.93,5.96454,34.96546,2019-01-25,Nuevo Horizonte
