AÑO,MES,DIA,RFF PROCESADO,TM CONDENSADO,TM ACEITE CONDENSADO,% PERDIDA ACEITE CONDENSADO,TM ESCOBAJO SIN PICAR,TM ACEITE ESCOBAJO SIN PICAR,% PERDIDA ACEITE ESCOBAJO SIN PICAR,TM ESCOBAJO PICADO,TM ACEITE ESCOBAJO PICADO,% PERDIDA ACEITE ESCOBAJO PICADO,% PERDIDA TOTAL ACEITE ESCOBAJO,% RACIMOS DUROS,% RACIMOS MAL DESFRUTADO ANORMAL,% RACIMO MAL DESFRUTADO,FACTOR,TM ACEITE RACIMO MAL DESFRUTADO,% EN PESO DE FRUTO ADHERIDO,% PERDIDA ACEITE FRUTO ADHERIDO NORMAL,TM FIBRA,TM ACEITE FIBRA,% PERDIDA ACEITE FIBRA,M3 AGUA TD,TM ACEITE AGUA TD,% PERDIDA ACEITE AGUA TD,TM SOLIDOS TD,TM ACEITE SOLIDO TD,% PERDIDA ACEITE SOLIDO TD,TM ARENA,TM ACEITE EN ARENA,% PERDIDA ACEITE EN ARENA,TM NUEZ,TM ACEITE CASCARA,% PERDIDA ACEITE EN CASCARA,% PERDIDA TOTAL,PLANTACION,FECHA,CONDENSADO,ESCOBAJO,FIBRA,CASCARA,AGUA,LODO,FRUTO ADHERIDO,ARENA,TM ACEITE ESCOBAJO,TM ACEITE ESCOBAJO_CMPTO,TM ACEITE CONDENSADO_CMPTO,TM ACEITE FIBRA_CMPTO,TM ACEITE AGUA TD_CMPTO,TM ACEITE EN ARENA_CMPTO,TM ACEITE CASCARA_CMPTO
2020.0,Enero,2020-01-01 00:00:00,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,-,-,-,-,-,0.0,-,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,-,Nuevo Horizonte,2020-01-01,,,,,,,,,0.0,,,,,,
2020.0,Enero,2020-01-01 00:00:00,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,-,-,-,-,-,0.0,-,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,-,Palmawasi,2020-01-01,,,,,,,,,0.0,,,,,,
2020.0,Enero,2020-01-01 00:00:00,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,-,-,-,-,-,0.0,-,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,-,Shanuzi,2020-01-01,,,,,,,,,0.0,,,,,,
2020.0,Enero,2020-01-02 00:00:00,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,-,-,-,-,-,0.0,-,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,-,Nuevo Horizonte,2020-01-02,,,,,,,,,0.0,,,,,,
2020.0,Enero,2020-01-02 00:00:00,914.62,192.0702,0.0,0,0.0,0.0,0,0.0,0.0,0,0,-,-,-,-,0.0,-,0,155.4854,0.0,0,219.5088,0.0,0,64.0234,0.0,0,0.91462,0.0,0,73.1696,0.0,0,0,Palmawasi,2020-01-02,,,,,,,,,0.0,,,,,,
2020.0,Enero,2020-01-02 00:00:00,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,-,-,-,-,-,0.0,-,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,-,Shanuzi,2020-01-02,,,,,,,,,0.0,,,,,,
2020.0,Enero,2020-01-03 00:00:00,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,-,-,-,-,-,0.0,-,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,-,Nuevo Horizonte,2020-01-03,,,,,,,,,0.0,,,,,,
2020.0,Enero,2020-01-03 00:00:00,1089.86,228.8706,0.0,0,0.0,0.0,0,0.0,0.0,0,0,-,-,-,-,0.0,-,0,185.2762,0.0,0,261.5664,0.0,0,76.2902,0.0,0,1.08986,0.0,0,87.1888,0.0,0,0,Palmawasi,2020-01-03,,,,,,,,,0.0,,,,,,
2020.0,Enero,2020-01-03 00:00:00,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,-,-,-,-,-,0.0,-,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,-,Shanuzi,2020-01-03,,,,,,,,,0.0,,,,,,
2020.0,Enero,2020-01-04 00:00:00,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,-,-,-,-,-,0.0,-,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,-,Nuevo Horizonte,2020-01-04,,,,,,,,,0.0,,,,,,
