FECHA,PLANTACION,TIPO_PERDIDA,COSECHA TM,PERDIDA TM
2021-01-02 00:00:00,Palmawasi,Cosecha puesto,663.0,4.39
2021-01-04 00:00:00,Palmawasi,Cosecha puesto,766.0,3.83
2021-01-05 00:00:00,Palmawasi,Cosecha puesto,132.0,0.17
2021-01-06 00:00:00,Palmawasi,Cosecha puesto,1795.0,20.76
2021-01-07 00:00:00,Palmawasi,Cosecha puesto,897.0,14.319999999999999
2021-01-08 00:00:00,Palmawasi,Cosecha puesto,2489.0,62.72
2021-01-09 00:00:00,Palmawasi,Cosecha puesto,714.0,3.1399999999999997
2021-01-11 00:00:00,Palmawasi,Cosecha puesto,1798.0,42.74
2021-01-12 00:00:00,Palmawasi,Cosecha puesto,1882.0,50.11
2021-01-13 00:00:00,Palmawasi,Cosecha puesto,1654.0,13.08
2021-01-14 00:00:00,Palmawasi,Cosecha puesto,1244.0,3.08
2021-01-15 00:00:00,Palmawasi,Cosecha puesto,2485.0,55.690000000000005
2021-01-18 00:00:00,Nuevo Horizonte,Cosecha puesto,38.0,0.06
2021-01-18 00:00:00,Palmawasi,Cosecha puesto,2857.0,57.379999999999995
2021-01-19 00:00:00,Palmawasi,Cosecha puesto,2253.0,16.74
2021-01-20 00:00:00,Nuevo Horizonte,Cosecha puesto,66.0,0.14
2021-01-20 00:00:00,Palmawasi,Cosecha puesto,4377.0,37.11
2021-01-21 00:00:00,Palmawasi,Cosecha puesto,2742.0,35.53
2021-01-22 00:00:00,Palmawasi,Cosecha puesto,4452.0,33.9
2021-01-23 00:00:00,Palmawasi,Cosecha puesto,545.0,5.500000000000001
2021-01-24 00:00:00,Palmawasi,Cosecha puesto,184.0,0.4
2021-01-25 00:00:00,Palmawasi,Cosecha puesto,2988.0,25.479999999999997
2021-01-26 00:00:00,Palmawasi,Cosecha puesto,1931.0,4.01
2021-01-27 00:00:00,Nuevo Horizonte,Cosecha puesto,32.0,0.06
2021-01-27 00:00:00,Palmawasi,Cosecha puesto,2132.0,81.08
2021-01-28 00:00:00,Palmawasi,Cosecha puesto,2942.0,3.5200000000000005
2021-01-29 00:00:00,Palmawasi,Cosecha puesto,2414.0,58.87
2021-01-30 00:00:00,Palmawasi,Cosecha puesto,1408.0,16.78
2021-02-01 00:00:00,Palmawasi,Cosecha puesto,1769.0,13.67
2021-02-03 00:00:00,Nuevo Horizonte,Cosecha puesto,33.0,0.03
2021-02-03 00:00:00,Palmawasi,Cosecha puesto,1730.0,18.02
2021-02-04 00:00:00,Palmawasi,Cosecha puesto,1458.0,2.43
2021-02-05 00:00:00,Palmawasi,Cosecha puesto,1928.0,13.32
2021-02-06 00:00:00,Nuevo Horizonte,Cosecha puesto,44.0,0.14
2021-02-06 00:00:00,Palmawasi,Cosecha puesto,1025.0,2.74
2021-02-08 00:00:00,Palmawasi,Cosecha puesto,1374.0,13.08
2021-02-10 00:00:00,Palmawasi,Cosecha puesto,1380.0,6.96
2021-02-11 00:00:00,Palmawasi,Cosecha puesto,1484.0,8.690000000000001
2021-02-12 00:00:00,Palmawasi,Cosecha puesto,1562.0,13.66
2021-02-13 00:00:00,Palmawasi,Cosecha puesto,1694.0,22.85
2021-02-15 00:00:00,Palmawasi,Cosecha puesto,1942.0,21.8
2021-02-16 00:00:00,Palmawasi,Cosecha puesto,1626.0,13.780000000000001
2021-02-17 00:00:00,Nuevo Horizonte,Cosecha puesto,50.0,0.12
2021-02-17 00:00:00,Palmawasi,Cosecha puesto,2382.0,21.619999999999997
2021-02-18 00:00:00,Palmawasi,Cosecha puesto,4606.0,24.14
