Año;Mes;Mes_txt;PLANTACION;NumInsectos;PromInsectosFlor;PromInsectosHa
2019;1;Ene;Shanuzi;505645;10728.48282;66395.74621
2019;2;Feb;Shanuzi;431653;9437.780657;66748.05768
2019;3;Mar;Shanuzi;414635;9401.973087;88580.34676
2019;4;Abr;Shanuzi;447982;9588.232589;99272.19747
2019;5;May;Shanuzi;508891;10485.66957;108812.9647
2019;6;Jun;Shanuzi;539605;10420.14031;117942.6766
2019;7;Jul;Shanuzi;516098;8600.460419;73147.13028
2019;8;Ago;Shanuzi;560040;9163.318146;75751.67613
2019;9;Set;Shanuzi;535043;8755.592253;71663.03172
2019;10;Oct;Shanuzi;581794;9454.107915;71040.79531
2019;11;Nov;Shanuzi;567884;9053.628425;72105.6991
2019;12;Dic;Shanuzi;613723;9590.825531;82880.80945
2020;1;Ene;Shanuzi;549647;11458.58788;79453.66461
2020;2;Feb;Shanuzi;569418;13509.51028;103178.6507
2020;3;Mar;Shanuzi;589708;14091.10553;58836.97484
2020;5;May;Shanuzi;476844;9440.493347;38725.20806
2020;6;Jun;Shanuzi;476844;9440.912884;38732.1123
2020;8;Ago;Shanuzi;199266;4059.234291;16764.77419
2020;9;Set;Shanuzi;180445;4200.266056;13775.65774
2020;10;Oct;Shanuzi;443186;11449.9433;56643.97446
2020;11;Nov;Shanuzi;459711;12178.23255;56318.6516
2020;12;Dic;Shanuzi;61845;1727.578266;3918.291865
2021;1;Ene;Shanuzi;381211;11476.62483;56809.90435
2021;2;Feb;Shanuzi;476827;11626.27143;34225.90532
2021;3;Mar;Shanuzi;415302;15978.13431;79346.98725
2021;4;Abr;Shanuzi;332292;15657.947;102210.4632
2021;5;May;Shanuzi;396019;16586.94438;120011.5996
2021;6;Jun;Shanuzi;322757;12723.40849;93839.4525
2021;7;Jul;Shanuzi;448275;15419.79758;102821.5922
2021;8;Ago;Shanuzi;382543;19722.31282;109102.5862
2021;9;Set;Shanuzi;334824;13964.62953;95217.53841
2021;10;Oct;Shanuzi;296164;13206.78115;83526.67381
2021;11;Nov;Shanuzi;361682;16729.15311;89937.81531
2021;12;Dic;Shanuzi;298060;14488.78202;57735.21201
2022;1;Ene;Shanuzi;229888;14758.1207;58130.68922
2022;2;Feb;Shanuzi;237065;12549.18599;50758.27878
2022;3;Mar;Shanuzi;266976;13476.99676;64922.46094
2022;4;Abr;Shanuzi;257188;11208.41351;74376.89402
2022;5;May;Shanuzi;293005;12067.89199;85742.26083
2022;6;Jun;Shanuzi;281308;11704.02732;86020.2716
2022;7;Jul;Shanuzi;250201;11051.42738;84400.97399
2022;8;Ago;Shanuzi;292697;11750.91064;85575.05617
2022;9;Set;Shanuzi;303667;13364.68828;90590.76132
2022;10;Oct;Shanuzi;275382;12559.81024;70303.17049
2022;11;Nov;Shanuzi;261463;12705.66115;61026.20289
2022;12;Dic;Shanuzi;257858;12332.20913;56346.99591
2023;1;Ene;Shanuzi;301259;13567.80765;56213.55048
2023;2;Feb;Shanuzi;277095;13548.21623;55768.45876
2023;3;Mar;Shanuzi;305911;14683.37618;65741.34581
2023;4;Abr;Shanuzi;280579;14198.23793;70786.20444
2023;5;May;Shanuzi;289894;13201.77549;73554.54302
2023;6;Jun;Shanuzi;343673;14846.77943;113435.8718
2023;7;Jul;Shanuzi;355118;12843.82348;64667.26042
2023;8;Ago;Shanuzi;411804;15966.71544;85468.34589
2023;9;Set;Shanuzi;347042;13843.07478;66595.31965
2023;10;Oct;Shanuzi;343023;14498.54861;68720.96488
2023;11;Nov;Shanuzi;356306;15764.38953;64642.96593
2023;12;Dic;Shanuzi;363383;15543.55124;55921.49183
2024;1;Ene;Shanuzi;311299;15986.74739;46996.209
2024;2;Feb;Shanuzi;318875;15547.86085;53789.59686
2024;3;Mar;Shanuzi;336147;15339.37777;63987.8521
2024;4;Abr;Shanuzi;306974;12864.08927;59529.26428
2024;5;May;Shanuzi;387354;14233.66005;73356.85082
2024;6;Jun;Shanuzi;376137;13569.42021;68489.45874
2024;7;Jul;Shanuzi;325092;13625.01112;72084.65541
