FECHA,PLANTACION,SALDO,SALDO > 3,>3 DIAS,DIA 1,DIA 2,DIA 3,DIA 4,DIA 5,DIA 6,DIA 7
2023-05-01,Palmawasi,0.0,0.0,-,-,-,-,-,-,-,-
2023-05-02,Palmawasi,227.0,21.0,22,158,48,20,4,-,-,-
2023-05-03,Palmawasi,220.0,35.0,36,156,30,24,10,-,-,-
2023-05-04,Palmawasi,239.0,36.0,36,170,34,16,10,10,-,-
2023-05-05,Palmawasi,289.0,21.0,22,238,30,4,6,10,-,-
2023-05-06,Palmawasi,298.0,24.0,24,212,64,22,4,-,-,-
2023-05-07,Palmawasi,0.0,0.0,-,-,-,-,-,-,-,-
2023-05-08,Palmawasi,417.0,13.0,14,340,64,14,-,-,-,-
2023-05-09,Palmawasi,380.0,29.0,30,310,42,30,-,-,-,-
2023-05-10,Palmawasi,386.0,4.0,4,324,60,0,4,-,-,-
2023-05-11,Palmawasi,403.0,16.0,16,324,64,12,4,-,-,-
2023-05-12,Palmawasi,427.0,25.0,26,338,66,18,8,-,-,-
2023-05-13,Palmawasi,353.0,14.0,14,262,78,14,-,-,-,-
2023-05-14,Palmawasi,0.0,0.0,-,-,-,-,-,-,-,-
2023-05-15,Palmawasi,418.0,0.0,-,364,56,-,-,-,-,-
2023-05-16,Palmawasi,446.0,23.0,24,334,90,24,-,-,-,-
2023-05-17,Palmawasi,422.0,58.0,58,274,90,36,24,-,-,-
2023-05-18,Palmawasi,371.0,37.0,38,254,82,10,20,7,-,-
2023-05-19,Palmawasi,368.0,25.0,26,254,90,20,6,-,-,-
2023-05-20,Palmawasi,321.0,20.0,20,246,56,20,0,-,-,-
2023-05-21,Palmawasi,0.0,0.0,-,-,-,-,-,-,-,-
2023-05-22,Palmawasi,285.0,16.0,16,198,72,2,16,0,-,-
2023-05-23,Palmawasi,309.0,33.0,34,236,42,20,0,12,-,-
2023-05-24,Palmawasi,282.0,31.0,32,214,38,16,16,0,0,-
2023-05-25,Palmawasi,379.0,22.0,22,324,34,12,10,0,0,0
2023-05-26,Palmawasi,414.0,27.0,28,316,72,14,4,10,-,-
2023-05-27,Palmawasi,315.0,38.0,38,216,62,28,10,1,-,-
2023-05-28,Palmawasi,0.0,0.0,-,-,-,-,-,-,-,-
2023-05-29,Palmawasi,433.0,27.0,28,352,54,6,18,5,-,-
2023-05-30,Palmawasi,353.0,28.0,28,288,38,10,6,9,6,-
2023-05-31,Palmawasi,217.0,25.0,26,154,38,14,6,3,6,-
2023-06-01,Palmawasi,344.0,34.0,34,296,14,20,10,6,-,-
2023-06-02,Palmawasi,274.0,8.0,8,234,32,4,6,-,-,-
2023-06-03,Palmawasi,0.0,0.0,-,-,-,-,-,-,-,-
2023-06-04,Palmawasi,0.0,0.0,-,-,-,-,-,-,-,-
2023-06-05,Palmawasi,253.0,12.0,12,210,32,12,-,-,-,-
2023-06-06,Palmawasi,291.0,17.0,18,234,42,12,6,-,-,-
2023-06-07,Palmawasi,381.0,2.0,2,326,54,2,-,-,-,-
2023-06-08,Palmawasi,372.0,17.0,18,316,40,16,2,-,-,-
2023-06-09,Palmawasi,265.0,4.0,4,218,44,4,2,-,-,-
